Parameters;causal_precision-mean;causal_precision-std;causal_recall-mean;causal_recall-std;causal_f1-score-mean;causal_f1-score-std;non_causal_precision-mean;non_causal_precision-std;non_causal_recall-mean;non_causal_recall-std;non_causal_f1-score-mean;non_causal_f1-score-std;macro avg_precision-mean;macro avg_precision-std;macro avg_recall-mean;macro avg_recall-std;macro avg_f1-score-mean;macro avg_f1-score-std;weighted avg_precision-mean;weighted avg_precision-std;weighted avg_recall-mean;weighted avg_recall-std;weighted avg_f1-score-mean;weighted avg_f1-score-std;accuracy-mean;accuracy-std
0.5_0.008_6000_phi4:14b_0.0_0.7_0.04_0.0_0.2_0.01_1.0_0.1_0.04;0.7739607812204203;0.0254217687794971;0.8555555555555555;0.03296088216486961;0.8121776764733675;0.02039370533296399;0.8687010028209702;0.024771037507338854;0.7907407407407407;0.03186046395200974;0.8273381805366558;0.02001036250822288;0.8213308920206952;0.019091569990429925;0.8231481481481481;0.01952803900216903;0.8197579285050116;0.019617853108030787;0.8256372657298112;0.019110133074186568;0.8202020202020203;0.019586585282490215;0.8204470423260701;0.0196048127900363;0.8202020202020203;0.019586585282490215
0.5_0.008_6000_phi4:14b_0.0_0.7_0.04_0.0_0.2_0.01_1.0_0.1_0.04;0.7790645411920666;0.021993068579644764;0.8511111111111112;0.023934065809486673;0.8131750750641432;0.016054059183355625;0.8658658506371844;0.01850187654609676;0.7981481481481482;0.02579331162441503;0.8303140183216083;0.01605179014402216;0.8224651959146254;0.015679789876363107;0.8246296296296297;0.01554452871958022;0.8217445466928759;0.01571427714136802;0.8264107099803126;0.015518088233899293;0.8222222222222222;0.01577828217354879;0.822523589568215;0.015717000441628288;0.8222222222222222;0.01577828217354879
0.5_0.008_6000_phi4:14b_0.0_0.7_0.04_0.0_0.2_0.01_1.0_0.1_0.04;0.7818744939271255;0.0234897082809053;0.8644444444444446;0.021545243810739242;0.8207511255150972;0.015428706294664427;0.8763613522252529;0.016793203661412882;0.7981481481481482;0.028327886186626548;0.8350781058872464;0.01693094910082502;0.8291179230761891;0.015321695559775314;0.8312962962962963;0.015375947225664493;0.8279146157011719;0.0158703019296356;0.8334127802715585;0.01496656348782449;0.8282828282828284;0.01597109929377967;0.828565842081724;0.015942483224668406;0.8282828282828284;0.01597109929377967
